tim_day,seller_nickname,titulo,seller_reputation,stock,logistic_type,condition,is_refurbished,price,regular_price,categoria,url,category_id,category_name
2024-08-01,c45156507a,Drone Dji Mavic 3 Classic Mavic 3 Classic (dji Rc) Con Dual Cámara 5.1k Gris 2.4ghz 1 Batería,green_platinum,1,XD,new,False,36900.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-1925167347-drone-dji-mavic-3-classic-mavic-3-classic-dji-rc-con-dual-camara-51k-gris-24ghz-1-bateria-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,72b9fe3090,"Laptop Asus Rog Strix G17 Gaming , 17.3  300hz Ips Fhd, Amd",green,10,DS,new,False,185120.98,231401.23,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2266156878-laptop-asus-rog-strix-g17-gaming-173-300hz-ips-fhd-amd-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,4289f5f06a,Apple iPhone 11 (64 Gb) - Morado,newbie,1,XD,used,False,168000.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2072307207-apple-iphone-11-64-gb-morado-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,a067f7b61e,"Microsoft Surface Laptop Studio 2 (2023) - 14.4  Touchscreen - Intel Core I7, 16gb Ram, 512gb Ssd, Nvidia Geforce Rtx 4050, Windows 11, Platinum Color Copilot",green_silver,1,FBM,new,False,37328.2,46660.44,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2098182139-microsoft-surface-laptop-studio-2-2023-144-touchscreen-intel-core-i7-16gb-ram-512gb-ssd-nvidia-geforce-rtx-4050-windows-11-platinum-color-copilot-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,eef8a25236,Swiss Code Sc7.16 Smartwatch Classic Iii Amoled Dorado,green_gold,2,XD,new,False,133601.0,,WEARABLES,https://articulo.mercadolibre.com.mx/MLM-2010504811-swiss-code-sc716-smartwatch-classic-iii-amoled-dorado-_JM,WEARABLES,DISPOSITIVOS WEARABLE
2024-08-01,b6f7b2ce83,Nikon Z Ii Con Lente 24-70 F/4s Mirrorless Negra,green_gold,1,XD,used,False,38999.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-2065177047-nikon-z-ii-con-lente-24-70-f4s-mirrorless-negra-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,07742e711f,Dji Phantom 4 Pro Blanco+ Dji Phantom 3 Standart De Regalo,,1,DS,used,False,49000.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-2003766249-dji-phantom-4-pro-blanco-dji-phantom-3-standart-de-regalo-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,8541ecaee6,Impresora Fotográfica Epson 17  Surecolor P900 Color Negro,green_platinum,4,DS,new,False,43601.0,,"IT PERIPHERALS, PARTS & ACCESSORIES",https://articulo.mercadolibre.com.mx/MLM-2614441304-impresora-fotografica-epson-17-surecolor-p900-color-negro-_JM,"IT PERIPHERALS, PARTS & ACCESSORIES",PERIFÉRICOS Y ACCESORIOS DE INFORMÁTICA
2024-08-01,c0562afd0d,Notebook Katana 15 B12vgk-813us 15.6  Negro 16gb De Ram - 1tb Ssd - Intel Core I7,green_platinum,25,XD,new,False,30089.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3053882554-notebook-katana-15-b12vgk-813us-156-negro-16gb-de-ram-1tb-ssd-intel-core-i7-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,ff43b17940, Macbook Pro Mrw23e/a 16  Negro 36gb De Ram - 512gb Hdd - Apple M3,green_platinum,5,FBM,new,False,64999.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2038382099-macbook-pro-mrw23ea-16-negro-36gb-de-ram-512gb-hdd-apple-m3-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,0de731d6c2,Chasing M2 Pro Color Naranja,green,2,XD,new,False,99999.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-2055987429-chasing-m2-pro-color-naranja-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,a9847ce81d,Borde De Motorola | Desbloqueado | Hecho Para Los Estados Un,green_platinum,40,DS,new,False,30927.0,,"IT PERIPHERALS, PARTS & ACCESSORIES",https://articulo.mercadolibre.com.mx/MLM-874216757-borde-de-motorola-desbloqueado-hecho-para-los-estados-un-_JM,"IT PERIPHERALS, PARTS & ACCESSORIES",PERIFÉRICOS Y ACCESORIOS DE INFORMÁTICA
2024-08-01,c0562afd0d,Bundle Laptop Msi Katana 15 Rtx4070 I7 12650h + Control Xbox,green_platinum,4,XD,new,False,31609.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3208165900-bundle-laptop-msi-katana-15-rtx4070-i7-12650h-control-xbox-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,f7dbed583f,Asus Rog Zephyrus 16  Qhd 240hz Rtx 4080 I9-13900h 16gb 1tb,green,3,DS,new,False,75999.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-1871320943-asus-rog-zephyrus-16-qhd-240hz-rtx-4080-i9-13900h-16gb-1tb-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,a9847ce81d,"Asus Zenbook Ux305ca 13,3 Pulgadas Fhd Portátil Sexta Genera",green_platinum,30,DS,new,False,35687.65,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-561181302-asus-zenbook-ux305ca-133-pulgadas-fhd-portatil-sexta-genera-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,d2506d16ca,Videocámara Blackmagic Design Pocket Cinema 6k Pro 6k Ntsc/pal Negra,green_platinum,1,XD,new,False,71955.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-1520550133-videocamara-blackmagic-design-pocket-cinema-6k-pro-6k-ntscpal-negra-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,546b9c69e3, Sony Alpha 9 Ii Ilce-9m2 Sin Espejo Color  Negro,green_platinum,1,XD,new,False,87749.51,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-1400884458-sony-alpha-9-ii-ilce-9m2-sin-espejo-color-negro-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,72b9fe3090,Notebook Raider Ge76 17.3  Azul Titanio 64gb De Ram - 2tb Ssd - Intel Core I9,green,10,DS,new,False,65039.64,81299.56,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3171342262-notebook-raider-ge76-173-azul-titanio-64gb-de-ram-2tb-ssd-intel-core-i9-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,8541ecaee6,Pc De Escritorio Apple iMac 24'' M1 256gb Ssd 2021 Rosa,green_platinum,1,DS,new,False,47999.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2073454625-pc-de-escritorio-apple-imac-24-m1-256gb-ssd-2021-rosa-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,90ddadc2e0,Funda Transparente Para Serie iPhone Magsafe + Mica Pantalla,green,11,XD,new,False,88888.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2037930613-funda-transparente-para-serie-iphone-magsafe-mica-pantalla-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,ff43b17940,iPad  Apple  Pro 3rd Generation 2021 A2301 11  2tb Plateado Y 16gb De Memoria Ram - Distribuidor Autorizado,green_platinum,10,FBM,new,False,50699.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-3083418582-ipad-apple-pro-3rd-generation-2021-a2301-11-2tb-plateado-y-16gb-de-memoria-ram-distribuidor-autorizado-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,404d09bc24,Xerox Docucolor 252 Fiery Embeeded Tabloide Rebasado,newbie,1,XD,used,False,48000.0,,"IT PERIPHERALS, PARTS & ACCESSORIES",https://articulo.mercadolibre.com.mx/MLM-3096786496-xerox-docucolor-252-fiery-embeeded-tabloide-rebasado-_JM,"IT PERIPHERALS, PARTS & ACCESSORIES",PERIFÉRICOS Y ACCESORIOS DE INFORMÁTICA
2024-08-01,fb33f0ad20,U18s 64 Audio ( Sony Shure Fiio Campfire Ifi Sennheiser Iems,newbie,1,XD,used,False,45000.0,,WEARABLES,https://articulo.mercadolibre.com.mx/MLM-3127840830-u18s-64-audio-sony-shure-fiio-campfire-ifi-sennheiser-iems-_JM,WEARABLES,DISPOSITIVOS WEARABLE
2024-08-01,33108ab7d0,Anker 767 Portable Power Station (powerhouse 2048wh),green_gold,8,XD,new,False,53900.0,70000.0,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2246083536-anker-767-portable-power-station-powerhouse-2048wh-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,83e53c0a51,Ayaneo Pocket Air 12gb Ram + 512gb Rom,red,1,XD,used,False,30000.0,,GAMING,https://articulo.mercadolibre.com.mx/MLM-3086478108-ayaneo-pocket-air-12gb-ram-512gb-rom-_JM,GAMING,VIDEOJUEGOS
2024-08-01,f7dbed583f,Laptop Hp Omen 16.1 I7 16gb 1tb Nvidia Rtx 4060 165hz Fhd Color Negro,green,3,DS,new,False,34999.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2059735013-laptop-hp-omen-161-i7-16gb-1tb-nvidia-rtx-4060-165hz-fhd-color-negro-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,72b9fe3090,"Lenovo Ideacentre, Computadora De Computadora Todo En Uno, Visualización Táctil Fhd De 24 Pulgadas, Amd Ryzen 3 7330u, 16 Gb De Ram, 1 Tb Nvme Ssd, Hdmi, Wifi, Rj-45, Mouse Inalámbrico Y Teclado",green,10,DS,new,False,39938.94,49923.68,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3132871682-lenovo-ideacentre-computadora-de-computadora-todo-en-uno-visualizacion-tactil-fhd-de-24-pulgadas-amd-ryzen-3-7330u-16-gb-de-ram-1-tb-nvme-ssd-hdmi-wifi-rj-45-mouse-inalambrico-y-teclado-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,ff43b17940,iPad Pro 12.9 Wifi 1tb Silver,green_platinum,15,FBM,new,False,51949.01,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2004339597-ipad-pro-129-wifi-1tb-silver-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
2024-08-01,41e49eeb7f,Drone Dji Mavic 3m Con Dual Cámara 4k Gris 1 Batería,green_gold,4,XD,new,False,146504.25,154215.0,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-2061031457-drone-dji-mavic-3m-con-dual-camara-4k-gris-1-bateria-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,546b9c69e3,Lente Nikon Af-s 70-200 Mm F/2.8e Fl Ed Vr Nikkor,green_platinum,4,XD,new,False,55798.0,,CAMERAS & DRONES,https://articulo.mercadolibre.com.mx/MLM-2006110255-lente-nikon-af-s-70-200-mm-f28e-fl-ed-vr-nikkor-_JM,CAMERAS & DRONES,CÁMARAS Y DRONES
2024-08-01,f7dbed583f,Lenovo Yoga Slim 7x Copilot+ Pc 14.5 Touch 16gb 512gb Ssd ,green,3,DS,new,False,38999.0,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3149762074-lenovo-yoga-slim-7x-copilot-pc-145-touch-16gb-512gb-ssd-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,7b5b82ec01,Alienware M16 Qhd+ 16 I9-13900hx Rtx4080 De 16 Gb 1 Tb 240hz,green,1,XD,new,True,45579.14,52999.0,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-3192396436-alienware-m16-qhd-16-i9-13900hx-rtx4080-de-16-gb-1-tb-240hz-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,ca47ea1279,Apple Mac Mini De Finales De 2020 Con Chip M1 Con Cpu De 8,green_platinum,10,XD,new,False,30268.78,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-2085458997-apple-mac-mini-de-finales-de-2020-con-chip-m1-con-cpu-de-8-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,a9847ce81d,"Evga Sc17 1070 17,3  4k Gaming Laptop, Intel Core I7, 32 Gb ",green_platinum,40,DS,new,False,73862.14,,COMPUTERS & NOTEBOOKS,https://articulo.mercadolibre.com.mx/MLM-585710111-evga-sc17-1070-173-4k-gaming-laptop-intel-core-i7-32-gb-_JM,COMPUTERS & NOTEBOOKS,COMPUTADORAS Y PORTÁTILES
2024-08-01,5dff796b51,New Super Mario Bros. U Deluxe Para Nintendo Switch,green,1,DS,new,False,99000.0,,GAMING,https://articulo.mercadolibre.com.mx/MLM-907680874-new-super-mario-bros-u-deluxe-para-nintendo-switch-_JM,GAMING,VIDEOJUEGOS
2024-08-01,ff43b17940,Apple iPad pro 13 Wi-fi 2 tb Plata M4,green_platinum,5,FBM,new,False,53799.0,,SMARTPHONES & TABLETS,https://articulo.mercadolibre.com.mx/MLM-2106681355-apple-ipadpro-13-wi-fi-2tb-plata-m4-_JM,SMARTPHONES & TABLETS,TELÉFONOS INTELIGENTES Y TABLETAS
